,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,cluster
0,0.8571428571428572,male,2,own,no_info,little,0.0505667436997909,0.029411764705882346,radio/TV,0
1,0.0535714285714286,female,2,own,little,moderate,0.3136898866512601,0.6470588235294117,radio/TV,0
2,0.5357142857142858,male,1,own,little,no_info,0.10157367668097282,0.1176470588235294,education,0
3,0.46428571428571425,male,2,free,little,little,0.4199405744470122,0.5588235294117647,furniture/equipment,0
4,0.6071428571428572,male,2,free,little,little,0.25420931000330144,0.2941176470588235,car,1
5,0.28571428571428575,male,1,free,no_info,no_info,0.4844833278309673,0.47058823529411764,education,0
6,0.6071428571428572,male,2,own,quite rich,no_info,0.14223616154946628,0.2941176470588235,furniture/equipment,0
7,0.28571428571428575,male,3,rent,little,moderate,0.3685484758446132,0.47058823529411764,car,1
8,0.75,male,1,own,rich,no_info,0.15456146142841423,0.1176470588235294,radio/TV,0
9,0.16071428571428575,male,3,own,little,moderate,0.27423792230659183,0.38235294117647056,car,1
10,0.10714285714285715,female,2,rent,little,moderate,0.05749972488169913,0.1176470588235294,car,1
11,0.0892857142857143,female,2,rent,little,little,0.22328601298558381,0.6470588235294117,business,1
12,0.0535714285714286,female,2,own,little,moderate,0.07246616044899307,0.1176470588235294,radio/TV,0
13,0.7321428571428572,male,1,own,little,little,0.052217453505007144,0.2941176470588235,car,1
14,0.16071428571428575,female,2,rent,little,little,0.06344228018047761,0.16176470588235292,car,1
15,0.23214285714285715,female,1,own,moderate,little,0.056784417299438755,0.2941176470588235,radio/TV,0
16,0.6071428571428572,male,2,own,no_info,no_info,0.11962143721800374,0.2941176470588235,radio/TV,0
17,0.10714285714285715,male,2,own,no_info,little,0.43039506988004844,0.38235294117647056,business,1
18,0.44642857142857145,female,3,free,little,moderate,0.6783867062837019,0.2941176470588235,car,1
19,0.21428571428571425,male,2,own,quite rich,no_info,0.17497523935292178,0.2941176470588235,radio/TV,0
20,0.5178571428571428,male,2,own,little,no_info,0.10366457576758006,0.07352941176470588,car,1
21,0.44642857142857145,male,2,rent,quite rich,little,0.13189171343677783,0.029411764705882346,radio/TV,0
22,0.5178571428571428,male,1,rent,little,little,0.10955210740618465,0.08823529411764706,car,1
23,0.44642857142857145,male,2,own,moderate,moderate,0.08550676791020138,0.1176470588235294,car,1
24,0.125,male,2,own,no_info,no_info,0.10008803785627819,0.08823529411764706,furniture/equipment,0
25,0.30357142857142855,male,1,own,little,little,0.06184659403543523,0.029411764705882346,furniture/equipment,0
26,0.35714285714285715,male,1,own,little,no_info,0.00968416419060196,0.029411764705882346,radio/TV,0
27,0.41071428571428575,female,2,rent,rich,rich,0.008748761967646089,0.1176470588235294,radio/TV,0
28,0.26785714285714285,male,2,own,little,moderate,0.11912622427643886,0.044117647058823525,radio/TV,0
29,0.7857142857142858,male,2,own,little,little,0.36238582590513924,0.8235294117647058,business,1
30,0.30357142857142855,male,2,own,rich,moderate,0.09150434686915374,0.20588235294117646,business,1
31,0.14285714285714285,male,2,own,little,little,0.20743919885550788,0.2941176470588235,furniture/equipment,0
32,0.19642857142857145,male,2,own,moderate,moderate,0.3090128755364807,0.20588235294117646,car,1
33,0.6785714285714286,male,1,rent,no_info,no_info,0.055793991416309016,0.1176470588235294,business,1
34,0.25000000000000006,female,3,own,little,rich,0.06734896005282272,0.1176470588235294,furniture/equipment,0
35,0.10714285714285715,male,1,own,little,moderate,0.24738637614174097,0.6029411764705882,radio/TV,0
36,0.21428571428571425,male,2,free,little,no_info,0.32243864861890614,0.6470588235294117,education,0
37,0.32142857142857145,male,2,own,little,rich,0.10179377132166832,0.20588235294117646,radio/TV,0
38,0.32142857142857145,male,2,own,little,rich,0.0536480686695279,0.08823529411764706,domestic appliances,1
39,0.0892857142857143,male,2,own,little,moderate,0.011444921316165951,0.07352941176470588,radio/TV,0
40,0.19642857142857145,male,3,own,quite rich,no_info,0.11461428414218112,0.38235294117647056,radio/TV,0
41,0.125,male,2,own,quite rich,moderate,0.04996148343787829,0.1176470588235294,radio/TV,0
42,0.44642857142857145,male,1,own,little,moderate,0.32761087267525035,0.20588235294117646,repairs,0
43,0.0892857142857143,male,2,rent,moderate,little,0.3266754704522945,0.38235294117647056,car,1
44,0.6964285714285714,female,1,free,little,little,0.324254429404644,0.6470588235294117,car,1
45,0.28571428571428575,female,3,own,little,no_info,0.06289204357873886,0.10294117647058824,car,1
46,0.35714285714285715,male,2,own,quite rich,no_info,0.1127434796962694,0.47058823529411764,radio/TV,0
47,0.07142857142857145,female,0,rent,quite rich,little,0.06063607351160999,0.029411764705882346,car,1
48,0.35714285714285715,male,1,own,little,no_info,0.38395510069329813,0.10294117647058824,car,1
49,0.16071428571428575,female,2,own,moderate,no_info,0.10030813249697369,0.1176470588235294,radio/TV,0
50,0.17857142857142855,male,1,own,no_info,moderate,0.11461428414218112,0.2941176470588235,furniture/equipment,0
51,0.19642857142857145,male,3,own,little,moderate,0.3144602178936943,0.338235294117647,car,1
52,0.10714285714285715,male,2,own,little,no_info,0.055683944095961266,0.1176470588235294,radio/TV,0
53,0.21428571428571425,male,2,own,no_info,no_info,0.17211400902388027,0.20588235294117646,car,1
54,0.6785714285714286,male,2,free,little,moderate,0.10867172884340266,0.47058823529411764,car,1
55,0.125,male,1,own,no_info,no_info,0.029327610872675252,0.029411764705882346,car,1
56,0.5892857142857142,male,3,own,no_info,moderate,0.3421371189611533,0.1176470588235294,radio/TV,0
57,0.21428571428571425,female,2,own,little,no_info,0.5126004181798173,0.47058823529411764,radio/TV,0
58,0.07142857142857145,female,3,own,little,rich,0.09414548255749973,0.20588235294117646,car,1
59,0.07142857142857145,female,1,rent,little,little,0.32898646417959726,0.47058823529411764,furniture/equipment,0
60,0.14285714285714285,male,2,own,little,moderate,0.0627819962583911,0.07352941176470588,business,1
61,0.5535714285714286,male,2,own,no_info,moderate,0.07081545064377683,0.16176470588235292,radio/TV,0
62,0.75,male,3,free,little,moderate,0.09370529327610873,0.47058823529411764,business,1
63,0.10714285714285715,male,2,own,little,moderate,0.7797402883239792,0.6470588235294117,business,1
64,0.125,female,2,own,little,no_info,0.16127434796962695,0.2941176470588235,radio/TV,0
65,0.5178571428571428,male,2,own,no_info,no_info,0.2718168812589414,0.338235294117647,repairs,0
66,0.17857142857142855,female,2,own,little,no_info,0.10570045119401342,0.1176470588235294,radio/TV,0
67,0.0535714285714286,male,2,own,rich,moderate,0.041652910751623196,0.1176470588235294,car,1
68,0.32142857142857145,male,2,free,little,no_info,0.08633212281280951,0.47058823529411764,education,0
69,0.10714285714285715,female,2,own,no_info,no_info,0.11797072741278751,0.47058823529411764,radio/TV,0
70,0.19642857142857145,female,2,own,little,no_info,0.4337515131506548,0.47058823529411764,car,1
71,0.48214285714285715,male,1,rent,no_info,no_info,0.02641135688345989,0.044117647058823525,radio/TV,0
72,0.5714285714285714,male,3,free,little,little,0.05029162539892153,0.058823529411764705,vacation/others,0
73,0.39285714285714285,female,1,own,little,moderate,0.3138549576317817,0.5588235294117647,business,1
74,0.37499999999999994,male,3,own,no_info,little,0.09502586112028172,0.47058823529411764,education,0
75,0.8392857142857144,male,3,free,little,little,0.0702101903818642,0.1176470588235294,car,1
76,0.26785714285714285,male,2,own,little,little,0.20441289754594477,0.5588235294117647,radio/TV,0
77,0.5714285714285714,male,2,own,little,moderate,0.24876196764608782,0.10294117647058824,radio/TV,0
78,0.35714285714285715,male,1,own,no_info,no_info,0.5054473423572136,0.7352941176470588,car,1
79,0.0535714285714286,male,2,own,little,moderate,0.19709475074281943,0.38235294117647056,furniture/equipment,0
80,0.44642857142857145,female,2,own,no_info,no_info,0.3132496973698691,0.2941176470588235,radio/TV,0
81,0.49999999999999994,male,2,own,quite rich,no_info,0.0529877847474414,0.16176470588235292,radio/TV,0
82,0.0892857142857143,female,1,rent,moderate,no_info,0.07252118410916694,0.20588235294117646,business,1
83,0.6964285714285714,female,1,own,little,little,0.08281060856168151,0.2941176470588235,vacation/others,0
